Year,B.6g,P.31,P.32,P.3,B.8g,B.6g.1,P.51c,B.8n
1948,,878,996,1874,,,,
1949,,976,1111,2087,,,,
1950,,1017,1154,2171,,,,
1951,,1192,1342,2534,,,,
1952,,1410,1587,2997,,,,
1953,,1478,1642,3120,,,,
1954,,1517,1672,3189,,,,
1955,,1489,1767,3256,,,,
1956,,1608,1908,3516,,,,
1957,,1677,1988,3665,,,,
1958,,1714,2011,3725,,,,
1959,,1841,2121,3962,,,,
1960,,1959,2231,4190,,,,
1961,,2150,2378,4528,,,,
1962,,2314,2528,4842,,,,
1963,,2458,2412,4870,,,,
1964,,2641,2568,5209,,,,
1965,,3001,2889,5890,,,,
1966,,3335,3131,6466,,,,
1967,,3669,3447,7116,,,,
1968,,3914,3710,7624,,,,
1969,,4169,3930,8099,,,,
1970,,4571,4572,9143,,,,
1971,,5201,5234,10435,,,,
1972,,5924,5987,11911,,,,
1973,,6825,6826,13651,,,,
1974,,9329,7690,17019,,,,
1975,,13041,10505,23546,,,,
1976,,15137,12409,27546,,,,
1977,,16351,13664,30015,,,,
1978,,18024,15930,33954,,,,
1979,,20695,18691,39386,,,,
1980,,26018,23446,49464,,,,
1981,,29632,26200,55832,,,,
1982,,32238,28579,60817,,,,
1983,,35465,30387,65852,,,,
1984,,37254,32621,69875,,,,
1985,,38996,34064,73060,,,,
1986,,42591,36472,79063,,,,
1987,90736,47643,37649,85292,5444,90736,8127,-2683
1988,106086,52311,39749,92060,14026,106086,8940,5086
1989,119492,56745,43631,100376,19116,119492,10258,8858
1990,127567,62317,48996,111313,16254,127567,11426,4828
1991,128203,69591,53077,122668,5535,128203,12035,-6500
1992,115483,75797,55624,131421,-15938,115483,12410,-28348
1993,106484,76684,57699,134383,-27899,106484,12702,-40601
1994,115793,80297,59540,139837,-24044,115793,13309,-37353
1995,126891,83942,61226,145168,-18277,126891,14127,-32404
1996,138349,89339,61731,151070,-12721,138349,14874,-27595
1997,153419,85986,66966,152952,467,153419,15309,-14842
1998,178172,91180,68977,160157,18015,178172,16112,1903
1999,200488,98082,73564,171646,28842,200488,16909,11933
2000,220667,104452,78723,183175,37492,220667,17644,19848
2001,227532,112431,85432,197863,29669,227532,18508,11161
2002,223417,125145,90967,216112,7305,223417,19639,-12334
2003,232476,138576,98471,237047,-4571,232476,21314,-25885
2004,254089,151409,105183,256592,-2503,254089,22120,-24623
2005,273822,163374,110745,274119,-297,273822,23991,-24288
2006,294795,176457,114915,291372,3423,294795,25869,-22446
2007,309086,185460,118566,304026,5060,309086,27719,-22659
2008,305738,198458,126317,324775,-19037,305738,30278,-49315
2009,257804,211557,129014,340571,-82767,257804,32400,-115167
2010,263671,216844,129472,346316,-82645,263671,32997,-115642
2011,282819,218441,128978,347419,-64600,282819,34316,-98916
2012,282835,223757,131627,355384,-72549,282835,35849,-108398
2013,315144,228467,130105,358572,-43428,315144,37059,-80487
2014,328131,237684,132327,370011,-41880,328131,38568,-80448
2015,351602,241113,133525,374638,-23036,351602,39727,-62763
2016,380311,248162,134598,382760,-2449,380311,41130,-43579
2017,411316,252777,135800,388577,22739,411316,42563,-19824
2018,426885,259603,139462,399065,27820,426885,43699,-15879
2019,451718,276253,150339,426592,25126,451718,45446,-20320
2020,306745,319792,155826,475618,-168873,306745,46650,-215523
2021,424736,338351,170365,508716,-83980,424736,47943,-131923
2022,494023,338175,186869,525044,-31021,494023,52271,-83292
